Estaca de Bares;A Coruña;18.3 ;12:50;15.9 ;12:50;0
As Pontes;A Coruña;22.4 ;15:30;8.3 ;15:30;0
A Coruña;A Coruña;19.7 ;13:40;14.0 ;13:40;0
A Coruña Aeropuerto;A Coruña;21.7 ;16:00;8.5 ;16:00;0
Carballo, Depuradora;A Coruña;20.5 ;15:20;5.3 ;15:20;0
Vimianzo;A Coruña;21.4 ;13:40;12.1 ;13:40;0
Fisterra;A Coruña;23.7 ;1:20;15.3 ;1:20;0
Mazaricos;A Coruña;23.6 ;14:10;11.9 ;14:10;0
Sobrado;A Coruña;22.6 ;16:30;11.2 ;16:30;0
Santiago de Compostela Aeropuerto;A Coruña;23.8 ;16:30;11.6 ;16:30;0
Noia;A Coruña;25.8 ;16:20;14.3 ;16:20;0
Boiro;A Coruña;27.4 ;17:00;14.6 ;17:00;0
Padrón;A Coruña;26.8 ;16:20;13.3 ;16:20;0
Santiago de Compostela;A Coruña;25.0 ;15:40;12.9 ;15:40;0
Rois, Casas do Porto;A Coruña;24.3 ;16:30;14.5 ;16:30;0
Villarrobledo;Albacete;23.4 ;16:40;6.9 ;16:40;0
Munera;Albacete;21.8 ;15:50;2.2 ;15:50;0
Yeste, Embalse Fuensanta;Albacete;25.0 ;16:30;7.2 ;16:30;0
Nerpio;Albacete;20.6 ;15:40;3.5 ;15:40;0
Yeste;Albacete;22.3 ;16:40;9.6 ;16:40;0
Hellín;Albacete;22.5 ;16:40;12.1 ;16:40;0
Tobarra;Albacete;22.6 ;16:50;9.8 ;16:50;0
Albacete Base Aérea;Albacete;22.0 ;16:20;4.9 ;16:20;0
Chinchilla;Albacete;21.7 ;16:10;7.6 ;16:10;0
Albacete;Albacete;24.0 ;16:10;7.0 ;16:10;0
Alcalá del Júcar;Albacete;25.5 ;17:00;8.8 ;17:00;0
Almansa;Albacete;23.3 ;16:20;6.2 ;16:20;0
Orihuela;Alacant/Alicante;24.6 ;14:40;13.4 ;14:40;0
Pinoso;Alacant/Alicante;20.9 ;14:40;7.7 ;14:40;0
Rojales;Alacant/Alicante;24.1 ;16:10;15.3 ;16:10;0
Villena;Alacant/Alicante;23.3 ;15:10;5.9 ;15:10;0
Novelda;Alacant/Alicante;25.0 ;14:00;14.0 ;14:00;0.2
Elche/Elx;Alacant/Alicante;24.5 ;12:40;13.8 ;12:40;0
Alicante-Elche Aeropuerto;Alacant/Alicante;24.5 ;14:00;15.0 ;14:00;0
Alicante/Alacant;Alacant/Alicante;24.0 ;13:00;13.7 ;13:00;0
Benidorm;Alacant/Alicante;25.0 ;14:10;15.5 ;14:10;1.5
Jávea/ Xàbia;Alacant/Alicante;24.2 ;13:00;14.3 ;13:00;0
Pego;Alacant/Alicante;23.7 ;14:20;16.8 ;14:20;0.2
Alcoy/Alcoi;Alacant/Alicante;22.5 ;13:50;12.4 ;13:50;0
Vélez Blanco - Topares;Almería;20.4 ;16:20;9.8 ;16:20;0
Adra;Almería;24.1 ;15:40;15.7 ;15:40;0
El Ejido;Almería;25.4 ;14:50;14.2 ;14:50;0
Roquetas de Mar;Almería;24.3 ;13:10;13.1 ;13:10;0
Abla;Almería;22.6 ;15:00;12.4 ;15:00;0
Almería Aeropuerto;Almería;27.2 ;15:10;14.6 ;15:10;0.2
Cabo de Gata;Almería;23.8 ;13:50;18.2 ;13:50;0
Garrucha, Puerto;Almería;23.5 ;14:10;15.9 ;14:10;0
Albox;Almería;25.4 ;15:30;13.3 ;15:30;0
Huercal Overa;Almería;25.5 ;14:30;12.0 ;14:30;0
Aramaio;Araba/Álava;13.0 ;16:20;9.1 ;16:20;0
Amurrio;Araba/Álava;17.2 ;16:10;9.3 ;16:10;0
Lalastra;Araba/Álava;12.6 ;17:30;7.4 ;17:30;0
Agurain/Salvatierra;Araba/Álava;14.3 ;17:10;6.8 ;17:10;0.6
Labastida;Araba/Álava;16.5 ;16:00;9.3 ;16:00;0.4
Leza;Araba/Álava;17.1 ;14:30;10.7 ;14:30;0
Campezo/Kanpezu;Araba/Álava;15.3 ;13:40;8.5 ;13:40;0
Cabrales;Asturias;20.0 ;15:00;12.9 ;15:00;0
Llanes;Asturias;19.7 ;12:20;13.8 ;12:20;0
Amieva, Panizales;Asturias;20.8 ;14:30;12.6 ;14:30;0
Piloña;Asturias;20.6 ;14:40;14.2 ;14:40;0
Colunga;Asturias;19.7 ;13:50;13.0 ;13:50;0
Gijón, Campus;Asturias;20.7 ;14:20;15.1 ;14:20;0
Cabo Peñas;Asturias;18.6 ;15:30;15.0 ;15:30;0
Asturias Aeropuerto;Asturias;20.0 ;14:00;13.2 ;14:00;0
Puerto de Pajares;Asturias;14.1 ;12:00;7.1 ;12:00;0
Pola de Lena;Asturias;19.8 ;16:20;11.9 ;16:20;0
Aller;Asturias;18.4 ;15:20;4.7 ;15:20;0
Mieres;Asturias;21.4 ;16:20;14.4 ;16:20;0
Oviedo;Asturias;19.3 ;15:20;14.1 ;15:20;0
Tineo, Soto de la Barca;Asturias;20.2 ;15:40;14.0 ;15:40;0
Pola de Somiedo;Asturias;20.1 ;16:00;3.6 ;16:00;0
Salas;Asturias;19.3 ;16:10;14.6 ;16:10;0.2
Cabo Busto;Asturias;18.6 ;14:40;15.3 ;14:40;0
Degaña;Asturias;20.1 ;16:20;6.9 ;16:20;0
Ibias, San Antolin;Asturias;21.9 ;15:50;9.3 ;15:50;0
Villayón, Oneta;Asturias;19.2 ;15:10;12.2 ;15:10;0
Castropol;Asturias;19.6 ;14:50;13.1 ;14:50;0
Taramundi, Ouria;Asturias;17.8 ;15:00;13.1 ;15:00;0
Puerto de Leitariegos;Asturias;18.9 ;14:10;8.8 ;14:10;0
Muñotello;Ávila;19.8 ;14:20;7.2 ;14:20;0
Ávila;Ávila;16.9 ;18:10;5.8 ;18:10;0
Gotarrendura;Ávila;18.7 ;17:40;5.3 ;17:40;0
Arevalo;Ávila;20.3 ;16:50;3.5 ;16:50;0
Rivilla de Barajas;Ávila;18.6 ;17:20;7.7 ;17:20;0
Barco de Avila;Ávila;21.6 ;14:10;3.7 ;14:10;0
Puerto El Pico;Ávila;21.9 ;15:30;3.7 ;15:30;0
Candeleda;Ávila;25.9 ;17:40;12.0 ;17:40;0
Herrera del Duque;Badajoz;28.1 ;16:40;9.0 ;16:40;0
Peraleda del Zaucejo;Badajoz;26.9 ;16:50;9.3 ;16:50;0
Castuera;Badajoz;26.1 ;17:10;17.5 ;17:10;0
Navalvillar de Pela;Badajoz;28.6 ;16:40;10.2 ;16:40;0
Don Benito;Badajoz;28.6 ;16:30;11.1 ;16:30;0
Llerena;Badajoz;26.1 ;17:20;14.6 ;17:20;0
Villafranca de los Barros;Badajoz;28.2 ;16:10;7.0 ;16:10;0
Mérida;Badajoz;28.9 ;16:10;8.9 ;16:10;0
Zafra;Badajoz;29.0 ;16:50;9.3 ;16:50;0
Almendralejo;Badajoz;27.7 ;16:20;12.3 ;16:20;0
Badajoz Aeropuerto;Badajoz;30.5 ;17:10;8.8 ;17:10;0
Alburquerque;Badajoz;29.6 ;16:50;13.1 ;16:50;0
Puebla de Obando;Badajoz;28.6 ;16:10;14.2 ;16:10;0
Badajoz;Badajoz;31.0 ;17:30;10.8 ;17:30;0
Olivenza;Badajoz;28.5 ;17:10;13.3 ;17:10;0
Alconchel;Badajoz;29.7 ;16:10;13.2 ;16:10;0
Barcarrota;Badajoz;28.7 ;17:40;12.1 ;17:40;0
Villanueva del Fresno;Badajoz;30.2 ;16:00;16.5 ;16:00;0
Monesterio;Badajoz;25.6 ;16:10;13.8 ;16:10;0
Fuente de Cantos;Badajoz;27.0 ;16:10;14.3 ;16:10;0
Jerez de los Caballeros;Badajoz;29.2 ;16:20;12.4 ;16:20;0
Fregenal de la Sierra;Badajoz;27.2 ;15:50;11.0 ;15:50;0
